,Page,Clicks,Impressions,CTR,Position,Avg. Time on Page,Bounce Rate,Exit,Pageviews,Unique Pageviews
48,https://miratrix.co.uk/tag/google-play/,1,76,1.32%,76.43,0 days 00:00:42.000000000,0.0,50.0,2,1
49,https://miratrix.co.uk/google-unveils-android-o-testing/,1,74,1.35%,33.22,0 days 00:00:00.000000000,0.0,100.0,1,1
50,https://miratrix.co.uk/travel-app-store-optimization/,1,69,1.45%,55.97,0 days 00:00:14.000000000,83.33,75.0,8,7
51,https://miratrix.co.uk/tag/otomos-phone-case/,1,64,1.56%,15.09,0 days 00:00:00.000000000,100.0,100.0,1,1
52,https://miratrix.co.uk/apigee-corp-snapped-up-by-google/,1,63,1.59%,58.38,0 days 00:00:00.000000000,100.0,100.0,1,1
53,https://miratrix.co.uk/tag/android-malware/,1,60,1.67%,25.03,0 days 00:00:00.000000000,100.0,100.0,1,1
54,https://miratrix.co.uk/new-app-will-bring-end-supermarket-queues/,1,57,1.75%,34.35,0 days 00:00:09.000000000,25.0,50.0,4,3
55,https://miratrix.co.uk/millions-of-android-phones-hit-by-malware/,1,56,1.79%,69.27,0 days 00:00:00.000000000,100.0,100.0,1,1
56,https://miratrix.co.uk/app-fed-parents/,1,53,1.89%,23.96,0 days 00:00:00.000000000,0.0,100.0,1,1
58,https://miratrix.co.uk/tag/edadeal/,1,48,2.08%,50.83,0 days 00:00:00.000000000,100.0,100.0,1,1
59,https://miratrix.co.uk/clueful-privacy-app/,1,46,2.17%,57.22,0 days 00:00:00.000000000,100.0,100.0,4,4
60,https://miratrix.co.uk/british-users-uninstall-apps-one-day/,1,46,2.17%,61.13,0 days 00:00:00.000000000,100.0,100.0,2,2
62,https://miratrix.co.uk/chinese-app-store-spam/,1,43,2.33%,48.51,0 days 00:00:56.000000000,0.0,50.0,2,2
64,https://miratrix.co.uk/juicy-aso-talking-affiliatefest-mtx45/,1,34,2.94%,14.59,0 days 00:00:00.000000000,0.0,100.0,2,2
66,https://miratrix.co.uk/the-weekly-noise-4/,1,29,3.45%,28.93,0 days 00:00:00.000000000,0.0,100.0,1,1
67,https://miratrix.co.uk/apps-create-second-hand-car-security-risk/,1,28,3.57%,26.18,0 days 00:00:00.000000000,0.0,100.0,1,1
68,https://miratrix.co.uk/tag/skinvision/,1,28,3.57%,63.64,0 days 00:00:00.000000000,100.0,100.0,1,1
69,https://miratrix.co.uk/the-united-states-of-app-merica/,1,27,3.7%,16.26,0 days 00:00:00.000000000,0.0,100.0,1,1
70,https://miratrix.co.uk/tag/mobile-uninstall-rates/,1,25,4%,86.0,0 days 00:00:00.000000000,100.0,100.0,1,1
71,https://miratrix.co.uk/unethical-kids-apps-apple-pays-back/,1,23,4.35%,67.74,0 days 00:00:00.000000000,100.0,100.0,1,1
72,https://miratrix.co.uk/tag/klevio-one/,1,20,5%,27.2,0 days 00:00:00.000000000,100.0,100.0,2,2
73,https://miratrix.co.uk/tag/mobile-shopping-apps/,1,20,5%,66.9,0 days 00:00:12.000000000,0.0,50.0,2,1
74,https://miratrix.co.uk/author/nduddy/page/2/,1,19,5.26%,35.79,0 days 00:00:13.000000000,0.0,0.0,1,1
75,https://miratrix.co.uk/app-cost-per-acquisition-increases-but-why/,1,13,7.69%,41.62,0 days 00:00:00.000000000,0.0,100.0,1,1
76,https://miratrix.co.uk/tag/nokia-3310/,1,13,7.69%,80.69,0 days 00:00:00.000000000,100.0,100.0,1,1
77,https://miratrix.co.uk/christmas-app-marketing-research/christmas-app-marketing/,1,12,8.33%,9.17,0 days 00:04:02.000000000,0.0,50.0,2,1
78,https://miratrix.co.uk/blog/page/5/,1,12,8.33%,24.75,0 days 00:03:03.000000000,0.0,0.0,1,1
